query_id	information_need	keywords
1	Dr. Anthony Fauci wrote in a 2005 paper published in Virology Journal that hydroxychloroquine was effective in treating SARS.	fauci paper hydroxychloroquine sars
2	The seasonal flu kills more people every year in the U.S. than COVID-19 has to date. 	flu kills more than covid
3	Coronavirus is less dangerous than the flu	coronavirus less dangerous flu
4	The coronavirus pandemic is a cover for a plan to implant trackable microchips and that the Microsoft co-founder Bill Gates is behind it	gates implant microchips
5	Microsoft co-founder Bill Gates said "only the people who have all the vaccines will still be able to move freely".	vaccines move freely
6	Bill Gates owns the patent and vaccine for coronavirus.	Gates own covid vaccine
7	Herd immunity has been reached.	Herd immunity reached
8	Children are “almost immune from this disease.”	children immune to coronavirus
9	A study from the CDC and the WHO “proves face masks do not prevent the spread of a virus.”	face masks prevent spread
10	hydroxychloroquine, zinc, and Zithromax can cure coronavirus	zinc can cure coronavirus
11	U.S. has “one of the lowest mortality rates in the world” from COVID-19	US lowest covid mortality
12	The spread of COVID-19 will slow down as the weather warms up	warm weather slows covid-19 spread 
13	5G helps the spread of Covid-19	5G spreads covid-19
14	Injecting or consuming bleach or disinfectant can cure coronavirus	disinfectant can cure coronavirus
15	The COVID-19 pandemic was planned by the Rockefeller Foundation in "Operation Lockstep."	operation lockstep rockefeller
16	COVID-19 could lose its epidemic status in the United States because of declining coronavirus death rates according to CDC data.	epidemic status death rate
17	healthy people should NOT wear masks	wear masks healthy people
18	coronavirus is a bioweapon created in a lab in Wuhan	bioweapon lab wuhan
19	The outbreak began because people ate bat soup	people ate bat soup
20	Outbreak people ate bat	Outbreak people ate bat
21	coronavirus eat bat soup	coronavirus eat bat soup
22	Wearing a mask to prevent the spread of COVID-19 is unnecessary because the disease can also be spread via farts.	covid-19 spread farts
23	For younger people, seasonal flu is “in many cases” a deadlier virus than COVID-19	flu deadlier than covid-19
24	The coronavirus disease (COVID-19) is caused by a virus	coronavirus caused by virus
25	Covid-19 is not caused by bacteria	Covid-19 not caused by bacteria
26	The prolonged use of medical masks when properly worn, DOES NOT cause CO2 intoxication nor oxygen deficiency	masks do not cause oxygen deficiency
27	Masks don't cause CO2 intoxication.	Masks don't cause CO2 intoxication.
28	The COVID-19 coronavirus pandemic caused a nationwide shortage of U.S. coins in circulation during the summer of 2020	covid-19 caused by coin shortage
29	Coins shortage due to coronavirus	coin shortage coronavirus
30	People should NOT wear masks while exercising	not wear masks while exercising
31	Paper published in 2005 states that hydroxychloroquine is effective in treating SARS.	hydroxychloroquine treating SARS
32	Bill Gates is responsible for Covid-19	Bill Gates is responsible for Covid-19
33	A common cold can cause a positive COVID-19 test.	cold can cause positive COVID-19 test
34	wearing masks has been “proven ineffective.”	wearing masks proven ineffective
35	This virus has a cure.	virus has a cure
